title,postings_count
Sales Manager,673
Customer Service Representative,373
Project Manager,354
Administrative Assistant,254
Senior Accountant,238
Executive Assistant,228
Salesperson,211
Registered Nurse,210
Receptionist,204
Staff Accountant,200
